cust_id,lookalikes
C0001,"[('C0181', 0.9346517961588328), ('C0120', 0.8975310829300924), ('C0184', 0.8640730287089359)]"
C0002,"[('C0088', 0.984786970122018), ('C0077', 0.900745855874733), ('C0144', 0.8961794025264799)]"
C0003,"[('C0031', 0.8639478762562338), ('C0025', 0.8621584309391507), ('C0052', 0.8448070519896925)]"
C0004,"[('C0165', 0.9825787774221347), ('C0153', 0.9127870619749094), ('C0169', 0.9081480442704979)]"
C0005,"[('C0140', 0.9899379450022263), ('C0186', 0.9758473072379672), ('C0146', 0.8995915629338853)]"
C0006,"[('C0187', 0.9497359319245032), ('C0168', 0.9371224523840914), ('C0126', 0.9150179444092312)]"
C0007,"[('C0146', 0.9958711037026335), ('C0115', 0.9630039760834646), ('C0186', 0.9317037582999351)]"
C0008,"[('C0136', 0.8469524598573369), ('C0018', 0.8206039030742583), ('C0065', 0.8106787250085865)]"
C0009,"[('C0061', 0.9682324770160674), ('C0198', 0.9456198660166513), ('C0103', 0.9194743627131416)]"
C0010,"[('C0111', 0.9602659479910558), ('C0062', 0.8883745564803462), ('C0121', 0.8844038008422727)]"
C0011,"[('C0137', 0.9306538158081065), ('C0126', 0.9283362309552395), ('C0006', 0.89524712943607)]"
C0012,"[('C0163', 0.980879650665658), ('C0113', 0.923363496904443), ('C0104', 0.920079095148028)]"
C0013,"[('C0099', 0.9833442181673926), ('C0082', 0.8783633448237951), ('C0108', 0.8750978621524497)]"
C0014,"[('C0097', 0.9503366989308648), ('C0060', 0.9452528761174568), ('C0063', 0.9362218811296743)]"
C0015,"[('C0131', 0.9730615178439965), ('C0058', 0.9499440319395956), ('C0020', 0.8820023768756972)]"
C0016,"[('C0042', 0.9257952460948496), ('C0040', 0.8985415340905287), ('C0185', 0.8874956688302715)]"
C0017,"[('C0075', 0.9686545355520848), ('C0041', 0.9377426404739247), ('C0057', 0.8915115751216776)]"
C0018,"[('C0046', 0.9358014332937269), ('C0122', 0.9217488017803506), ('C0068', 0.8796397594497002)]"
C0019,"[('C0073', 0.9870135593057627), ('C0132', 0.9287073004553348), ('C0063', 0.8873283603332753)]"
C0020,"[('C0140', 0.9055667431387256), ('C0005', 0.8956395224637014), ('C0131', 0.8913293082354248)]"
